stateName,vehicleType,pollutant (g/mi),,EF_2023
NEW JERSEY,"Combination Short-haul Truck, Diesel",CO,,1.520
NEW MEXICO,"Combination Short-haul Truck, Diesel",CO,,1.331
NEW YORK,"Combination Short-haul Truck, Diesel",CO,,1.444
NORTH CAROLINA,"Combination Short-haul Truck, Diesel",CO,,1.401
NORTH DAKOTA,"Combination Short-haul Truck, Diesel",CO,,1.292
OHIO,"Combination Short-haul Truck, Diesel",CO,,1.391
OKLAHOMA,"Combination Short-haul Truck, Diesel",CO,,1.335
OREGON,"Combination Short-haul Truck, Diesel",CO,,1.390
PENNSYLVANIA,"Combination Short-haul Truck, Diesel",CO,,1.391
RHODE ISLAND,"Combination Short-haul Truck, Diesel",CO,,1.477
SOUTH CAROLINA,"Combination Short-haul Truck, Diesel",CO,,1.365
SOUTH DAKOTA,"Combination Short-haul Truck, Diesel",CO,,1.264
TENNESSEE,"Combination Short-haul Truck, Diesel",CO,,1.399
TEXAS,"Combination Short-haul Truck, Diesel",CO,,1.414
UTAH,"Combination Short-haul Truck, Diesel",CO,,1.393
VERMONT,"Combination Short-haul Truck, Diesel",CO,,1.278
VIRGINIA,"Combination Short-haul Truck, Diesel",CO,,1.373
WASHINGTON,"Combination Short-haul Truck, Diesel",CO,,1.391
WEST VIRGINIA,"Combination Short-haul Truck, Diesel",CO,,1.326
WISCONSIN,"Combination Short-haul Truck, Diesel",CO,,1.339
WYOMING,"Combination Short-haul Truck, Diesel",CO,,1.265
ALABAMA,"Light Commercial Truck, Diesel",CO,,0.580
ALASKA,"Light Commercial Truck, Diesel",CO,,0.578
ARIZONA,"Light Commercial Truck, Diesel",CO,,0.706
ARKANSAS,"Light Commercial Truck, Diesel",CO,,0.569
CALIFORNIA,"Light Commercial Truck, Diesel",CO,,0.583
COLORADO,"Light Commercial Truck, Diesel",CO,,0.575
CONNECTICUT,"Light Commercial Truck, Diesel",CO,,0.588
DELAWARE,"Light Commercial Truck, Diesel",CO,,0.598
DISTRICT OF COLUMBIA,"Light Commercial Truck, Diesel",CO,,0.658
FLORIDA,"Light Commercial Truck, Diesel",CO,,0.736
GEORGIA,"Light Commercial Truck, Diesel",CO,,0.587
HAWAII,"Light Commercial Truck, Diesel",CO,,0.726
IDAHO,"Light Commercial Truck, Diesel",CO,,0.564
ILLINOIS,"Light Commercial Truck, Diesel",CO,,0.591
INDIANA,"Light Commercial Truck, Diesel",CO,,0.581
IOWA,"Light Commercial Truck, Diesel",CO,,0.562
KANSAS,"Light Commercial Truck, Diesel",CO,,0.561
KENTUCKY,"Light Commercial Truck, Diesel",CO,,0.567
