stateName,vehicleType,pollutant (g/mi),,EF_2023
NEW YORK,"Light Commercial Truck, Gasoline",PM10,,0.003
NORTH CAROLINA,"Light Commercial Truck, Gasoline",PM10,,0.002
NORTH DAKOTA,"Light Commercial Truck, Gasoline",PM10,,0.003
OHIO,"Light Commercial Truck, Gasoline",PM10,,0.003
OKLAHOMA,"Light Commercial Truck, Gasoline",PM10,,0.002
OREGON,"Light Commercial Truck, Gasoline",PM10,,0.003
PENNSYLVANIA,"Light Commercial Truck, Gasoline",PM10,,0.003
RHODE ISLAND,"Light Commercial Truck, Gasoline",PM10,,0.003
SOUTH CAROLINA,"Light Commercial Truck, Gasoline",PM10,,0.002
SOUTH DAKOTA,"Light Commercial Truck, Gasoline",PM10,,0.003
TENNESSEE,"Light Commercial Truck, Gasoline",PM10,,0.002
TEXAS,"Light Commercial Truck, Gasoline",PM10,,0.002
UTAH,"Light Commercial Truck, Gasoline",PM10,,0.003
VERMONT,"Light Commercial Truck, Gasoline",PM10,,0.003
VIRGINIA,"Light Commercial Truck, Gasoline",PM10,,0.002
WASHINGTON,"Light Commercial Truck, Gasoline",PM10,,0.003
WEST VIRGINIA,"Light Commercial Truck, Gasoline",PM10,,0.003
WISCONSIN,"Light Commercial Truck, Gasoline",PM10,,0.003
WYOMING,"Light Commercial Truck, Gasoline",PM10,,0.003
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ALABAMA,"Refuse Truck, Diesel",PM10,,0.005
ALASKA,"Refuse Truck, Diesel",PM10,,0.005
ARIZONA,"Refuse Truck, Diesel",PM10,,0.006
ARKANSAS,"Refuse Truck, Diesel",PM10,,0.005
CALIFORNIA,"Refuse Truck, Diesel",PM10,,0.005
COLORADO,"Refuse Truck, Diesel",PM10,,0.005
CONNECTICUT,"Refuse Truck, Diesel",PM10,,0.005
DELAWARE,"Refuse Truck, Diesel",PM10,,0.006
DISTRICT OF COLUMBIA,"Refuse Truck, Diesel",PM10,,0.006
FLORIDA,"Refuse Truck, Diesel",PM10,,0.006
GEORGIA,"Refuse Truck, Diesel",PM10,,0.005
HAWAII,"Refuse Truck, Diesel",PM10,,0.006
IDAHO,"Refuse Truck, Diesel",PM10,,0.005
ILLINOIS,"Refuse Truck, Diesel",PM10,,0.006
INDIANA,"Refuse Truck, Diesel",PM10,,0.005
IOWA,"Refuse Truck, Diesel",PM10,,0.005
KANSAS,"Refuse Truck, Diesel",PM10,,0.005
KENTUCKY,"Refuse Truck, Diesel",PM10,,0.005
LOUISIANA,"Refuse Truck, Diesel",PM10,,0.005
MAINE,"Refuse Truck, Diesel",PM10,,0.005
MARYLAND,"Refuse Truck, Diesel",PM10,,0.005
MASSACHUSETTS,"Refuse Truck, Diesel",PM10,,0.006
MICHIGAN,"Refuse Truck, Diesel",PM10,,0.005
MINNESOTA,"Refuse Truck, Diesel",PM10,,0.005
MISSISSIPPI,"Refuse Truck, Diesel",PM10,,0.005
MISSOURI,"Refuse Truck, Diesel",PM10,,0.005
MONTANA,"Refuse Truck, Diesel",PM10,,0.005
NEBRASKA,"Refuse Truck, Diesel",PM10,,0.005
NEVADA,"Refuse Truck, Diesel",PM10,,0.006
NEW HAMPSHIRE,"Refuse Truck, Diesel",PM10,,0.005
NEW JERSEY,"Refuse Truck, Diesel",PM10,,0.006
NEW MEXICO,"Refuse Truck, Diesel",PM10,,0.005
NEW YORK,"Refuse Truck, Diesel",PM10,,0.005
NORTH CAROLINA,"Refuse Truck, Diesel",PM10,,0.005
NORTH DAKOTA,"Refuse Truck, Diesel",PM10,,0.005
OHIO,"Refuse Truck, Diesel",PM10,,0.005
OKLAHOMA,"Refuse Truck, Diesel",PM10,,0.005
OREGON,"Refuse Truck, Diesel",PM10,,0.005
PENNSYLVANIA,"Refuse Truck, Diesel",PM10,,0.005
RHODE ISLAND,"Refuse Truck, Diesel",PM10,,0.006
SOUTH CAROLINA,"Refuse Truck, Diesel",PM10,,0.005
SOUTH DAKOTA,"Refuse Truck, Diesel",PM10,,0.005
TENNESSEE,"Refuse Truck, Diesel",PM10,,0.005
TEXAS,"Refuse Truck, Diesel",PM10,,0.005
UTAH,"Refuse Truck, Diesel",PM10,,0.005
VERMONT,"Refuse Truck, Diesel",PM10,,0.005
VIRGINIA,"Refuse Truck, Diesel",PM10,,0.005
WASHINGTON,"Refuse Truck, Diesel",PM10,,0.005
WEST VIRGINIA,"Refuse Truck, Diesel",PM10,,0.005
WISCONSIN,"Refuse Truck, Diesel",PM10,,0.005
WYOMING,"Refuse Truck, Diesel",PM10,,0.005
ALABAMA,"School Bus, Diesel",PM10,,0.007
ALASKA,"School Bus, Diesel",PM10,,0.007
ARIZONA,"School Bus, Diesel",PM10,,0.008
ARKANSAS,"School Bus, Diesel",PM10,,0.007
CALIFORNIA,"School Bus, Diesel",PM10,,0.008
COLORADO,"School Bus, Diesel",PM10,,0.007
CONNECTICUT,"School Bus, Diesel",PM10,,0.008
DELAWARE,"School Bus, Diesel",PM10,,0.008
DISTRICT OF COLUMBIA,"School Bus, Diesel",PM10,,0.010
FLORIDA,"School Bus, Diesel",PM10,,0.008
GEORGIA,"School Bus, Diesel",PM10,,0.008
HAWAII,"School Bus, Diesel",PM10,,0.008
IDAHO,"School Bus, Diesel",PM10,,0.007
ILLINOIS,"School Bus, Diesel",PM10,,0.008
INDIANA,"School Bus, Diesel",PM10,,0.007
IOWA,"School Bus, Diesel",PM10,,0.007
KANSAS,"School Bus, Diesel",PM10,,0.007
KENTUCKY,"School Bus, Diesel",PM10,,0.007
LOUISIANA,"School Bus, Diesel",PM10,,0.007
MAINE,"School Bus, Diesel",PM10,,0.007
MARYLAND,"School Bus, Diesel",PM10,,0.008
MASSACHUSETTS,"School Bus, Diesel",PM10,,0.008
MICHIGAN,"School Bus, Diesel",PM10,,0.008
MINNESOTA,"School Bus, Diesel",PM10,,0.007
MISSISSIPPI,"School Bus, Diesel",PM10,,0.007
MISSOURI,"School Bus, Diesel",PM10,,0.007
MONTANA,"School Bus, Diesel",PM10,,0.007
NEBRASKA,"School Bus, Diesel",PM10,,0.007
NEVADA,"School Bus, Diesel",PM10,,0.008
NEW HAMPSHIRE,"School Bus, Diesel",PM10,,0.007
NEW JERSEY,"School Bus, Diesel",PM10,,0.008
NEW MEXICO,"School Bus, Diesel",PM10,,0.007
NEW YORK,"School Bus, Diesel",PM10,,0.008
NORTH CAROLINA,"School Bus, Diesel",PM10,,0.007
NORTH DAKOTA,"School Bus, Diesel",PM10,,0.007
OHIO,"School Bus, Diesel",PM10,,0.007
OKLAHOMA,"School Bus, Diesel",PM10,,0.007
OREGON,"School Bus, Diesel",PM10,,0.007
PENNSYLVANIA,"School Bus, Diesel",PM10,,0.007
RHODE ISLAND,"School Bus, Diesel",PM10,,0.008
SOUTH CAROLINA,"School Bus, Diesel",PM10,,0.007
SOUTH DAKOTA,"School Bus, Diesel",PM10,,0.007
TENNESSEE,"School Bus, Diesel",PM10,,0.007
TEXAS,"School Bus, Diesel",PM10,,0.008
UTAH,"School Bus, Diesel",PM10,,0.007
VERMONT,"School Bus, Diesel",PM10,,0.007
VIRGINIA,"School Bus, Diesel",PM10,,0.007
WASHINGTON,"School Bus, Diesel",PM10,,0.007
WEST VIRGINIA,"School Bus, Diesel",PM10,,0.007
WISCONSIN,"School Bus, Diesel",PM10,,0.007
WYOMING,"School Bus, Diesel",PM10,,0.007
ALABAMA,"School Bus, Gasoline",PM10,,0.011
ALASKA,"School Bus, Gasoline",PM10,,0.010
ARIZONA,"School Bus, Gasoline",PM10,,0.012
ARKANSAS,"School Bus, Gasoline",PM10,,0.012
CALIFORNIA,"School Bus, Gasoline",PM10,,0.011
COLORADO,"School Bus, Gasoline",PM10,,0.012
CONNECTICUT,"School Bus, Gasoline",PM10,,0.013
DELAWARE,"School Bus, Gasoline",PM10,,0.012
DISTRICT OF COLUMBIA,"School Bus, Gasoline",PM10,,0.013
FLORIDA,"School Bus, Gasoline",PM10,,0.012
GEORGIA,"School Bus, Gasoline",PM10,,0.012
HAWAII,"School Bus, Gasoline",PM10,,0.014
IDAHO,"School Bus, Gasoline",PM10,,0.012
ILLINOIS,"School Bus, Gasoline",PM10,,0.012
INDIANA,"School Bus, Gasoline",PM10,,0.013
IOWA,"School Bus, Gasoline",PM10,,0.013
KANSAS,"School Bus, Gasoline",PM10,,0.012
KENTUCKY,"School Bus, Gasoline",PM10,,0.012
LOUISIANA,"School Bus, Gasoline",PM10,,0.011
MAINE,"School Bus, Gasoline",PM10,,0.012
MARYLAND,"School Bus, Gasoline",PM10,,0.012
MASSACHUSETTS,"School Bus, Gasoline",PM10,,0.013
MICHIGAN,"School Bus, Gasoline",PM10,,0.014
MINNESOTA,"School Bus, Gasoline",PM10,,0.013
MISSISSIPPI,"School Bus, Gasoline",PM10,,0.011
MISSOURI,"School Bus, Gasoline",PM10,,0.012
MONTANA,"School Bus, Gasoline",PM10,,0.012
NEBRASKA,"School Bus, Gasoline",PM10,,0.013
NEVADA,"School Bus, Gasoline",PM10,,0.014
NEW HAMPSHIRE,"School Bus, Gasoline",PM10,,0.012
NEW JERSEY,"School Bus, Gasoline",PM10,,0.012
NEW MEXICO,"School Bus, Gasoline",PM10,,0.012
NEW YORK,"School Bus, Gasoline",PM10,,0.013
NORTH CAROLINA,"School Bus, Gasoline",PM10,,0.012
NORTH DAKOTA,"School Bus, Gasoline",PM10,,0.013
OHIO,"School Bus, Gasoline",PM10,,0.013
OKLAHOMA,"School Bus, Gasoline",PM10,,0.012
OREGON,"School Bus, Gasoline",PM10,,0.012
PENNSYLVANIA,"School Bus, Gasoline",PM10,,0.013
RHODE ISLAND,"School Bus, Gasoline",PM10,,0.013
SOUTH CAROLINA,"School Bus, Gasoline",PM10,,0.011
SOUTH DAKOTA,"School Bus, Gasoline",PM10,,0.012
TENNESSEE,"School Bus, Gasoline",PM10,,0.012
TEXAS,"School Bus, Gasoline",PM10,,0.011
UTAH,"School Bus, Gasoline",PM10,,0.012
VERMONT,"School Bus, Gasoline",PM10,,0.013
VIRGINIA,"School Bus, Gasoline",PM10,,0.012
WASHINGTON,"School Bus, Gasoline",PM10,,0.012
WEST VIRGINIA,"School Bus, Gasoline",PM10,,0.012
WISCONSIN,"School Bus, Gasoline",PM10,,0.012
WYOMING,"School Bus, Gasoline",PM10,,0.012
ALABAMA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
ALASKA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
ARIZONA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
ARKANSAS,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
CALIFORNIA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
COLORADO,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
CONNECTICUT,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
DELAWARE,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
DISTRICT OF COLUMBIA,"Single Unit Long-haul Truck, Diesel",PM10,,0.004
FLORIDA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
GEORGIA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
HAWAII,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
IDAHO,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
ILLINOIS,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
INDIANA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
IOWA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
KANSAS,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
KENTUCKY,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
LOUISIANA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
MAINE,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
MARYLAND,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
MASSACHUSETTS,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
MICHIGAN,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
MINNESOTA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
MISSISSIPPI,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
MISSOURI,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
MONTANA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
NEBRASKA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
NEVADA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
NEW HAMPSHIRE,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
NEW JERSEY,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
NEW MEXICO,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
NEW YORK,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
NORTH CAROLINA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
NORTH DAKOTA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
OHIO,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
OKLAHOMA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
OREGON,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
PENNSYLVANIA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
RHODE ISLAND,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
SOUTH CAROLINA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
SOUTH DAKOTA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
TENNESSEE,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
TEXAS,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
UTAH,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
VERMONT,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
VIRGINIA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
WASHINGTON,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
WEST VIRGINIA,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
WISCONSIN,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
WYOMING,"Single Unit Long-haul Truck, Diesel",PM10,,0.003
ALABAMA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
ALASKA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.005
ARIZONA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
ARKANSAS,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
CALIFORNIA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.006
COLORADO,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
CONNECTICUT,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
DELAWARE,"Single Unit Long-haul Truck, Gasoline",PM10,,0.006
DISTRICT OF COLUMBIA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
FLORIDA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
GEORGIA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
HAWAII,"Single Unit Long-haul Truck, Gasoline",PM10,,0.008
IDAHO,"Single Unit Long-haul Truck, Gasoline",PM10,,0.006
ILLINOIS,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
INDIANA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
IOWA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
KANSAS,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
KENTUCKY,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
LOUISIANA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
MAINE,"Single Unit Long-haul Truck, Gasoline",PM10,,0.006
MARYLAND,"Single Unit Long-haul Truck, Gasoline",PM10,,0.006
MASSACHUSETTS,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
MICHIGAN,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
MINNESOTA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
MISSISSIPPI,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
MISSOURI,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
MONTANA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.006
NEBRASKA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
NEVADA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
NEW HAMPSHIRE,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
NEW JERSEY,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
NEW MEXICO,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
NEW YORK,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
NORTH CAROLINA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
NORTH DAKOTA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
OHIO,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
OKLAHOMA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
OREGON,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
PENNSYLVANIA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
RHODE ISLAND,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
SOUTH CAROLINA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
SOUTH DAKOTA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
TENNESSEE,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
TEXAS,"Single Unit Long-haul Truck, Gasoline",PM10,,0.006
UTAH,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
VERMONT,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
VIRGINIA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
WASHINGTON,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
WEST VIRGINIA,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
WISCONSIN,"Single Unit Long-haul Truck, Gasoline",PM10,,0.007
WYOMING,"Single Unit Long-haul Truck, Gasoline",PM10,,0.006
ALABAMA,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
ALASKA,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
ARIZONA,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
ARKANSAS,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
CALIFORNIA,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
COLORADO,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
CONNECTICUT,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
DELAWARE,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
DISTRICT OF COLUMBIA,"Single Unit Short-haul Truck, Diesel",PM10,,0.005
FLORIDA,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
GEORGIA,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
HAWAII,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
IDAHO,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
ILLINOIS,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
INDIANA,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
IOWA,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
KANSAS,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
KENTUCKY,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
LOUISIANA,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
MAINE,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
MARYLAND,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
MASSACHUSETTS,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
MICHIGAN,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
MINNESOTA,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
MISSISSIPPI,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
MISSOURI,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
MONTANA,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
NEBRASKA,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
NEVADA,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
NEW HAMPSHIRE,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
NEW JERSEY,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
NEW MEXICO,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
NEW YORK,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
NORTH CAROLINA,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
NORTH DAKOTA,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
OHIO,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
OKLAHOMA,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
OREGON,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
PENNSYLVANIA,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
RHODE ISLAND,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
SOUTH CAROLINA,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
SOUTH DAKOTA,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
TENNESSEE,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
TEXAS,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
UTAH,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
VERMONT,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
VIRGINIA,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
WASHINGTON,"Single Unit Short-haul Truck, Diesel",PM10,,0.004
WEST VIRGINIA,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
WISCONSIN,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
WYOMING,"Single Unit Short-haul Truck, Diesel",PM10,,0.003
ALABAMA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.011
ALASKA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.010
ARIZONA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.011
ARKANSAS,"Single Unit Short-haul Truck, Gasoline",PM10,,0.011
CALIFORNIA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.010
COLORADO,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
CONNECTICUT,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
DELAWARE,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
DISTRICT OF COLUMBIA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
FLORIDA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.011
GEORGIA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.011
HAWAII,"Single Unit Short-haul Truck, Gasoline",PM10,,0.014
IDAHO,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
ILLINOIS,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
INDIANA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
IOWA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
KANSAS,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
KENTUCKY,"Single Unit Short-haul Truck, Gasoline",PM10,,0.011
LOUISIANA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.010
MAINE,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
MARYLAND,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
MASSACHUSETTS,"Single Unit Short-haul Truck, Gasoline",PM10,,0.014
MICHIGAN,"Single Unit Short-haul Truck, Gasoline",PM10,,0.015
MINNESOTA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.014
MISSISSIPPI,"Single Unit Short-haul Truck, Gasoline",PM10,,0.010
MISSOURI,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
MONTANA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
NEBRASKA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
NEVADA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.014
NEW HAMPSHIRE,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
NEW JERSEY,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
NEW MEXICO,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
NEW YORK,"Single Unit Short-haul Truck, Gasoline",PM10,,0.014
NORTH CAROLINA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.011
NORTH DAKOTA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
OHIO,"Single Unit Short-haul Truck, Gasoline",PM10,,0.014
OKLAHOMA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.011
OREGON,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
PENNSYLVANIA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
RHODE ISLAND,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
SOUTH CAROLINA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.011
SOUTH DAKOTA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
TENNESSEE,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
TEXAS,"Single Unit Short-haul Truck, Gasoline",PM10,,0.010
UTAH,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
VERMONT,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
VIRGINIA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.011
WASHINGTON,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
WEST VIRGINIA,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
WISCONSIN,"Single Unit Short-haul Truck, Gasoline",PM10,,0.013
WYOMING,"Single Unit Short-haul Truck, Gasoline",PM10,,0.012
ALABAMA,"Transit Bus, CNG",PM10,,0.006
ALASKA,"Transit Bus, CNG",PM10,,0.006
ARIZONA,"Transit Bus, CNG",PM10,,0.006
ARKANSAS,"Transit Bus, CNG",PM10,,0.005
CALIFORNIA,"Transit Bus, CNG",PM10,,0.006
